date,user,is_retweet,is_quote,text,quoted_text,,,,,,,,,,,
2021-03-16 21:08:55,jayden_1824,False,False,The fact that hate speech is still free speech is a problem. #humedialit,,,,,,,,,,,,
2021-03-16 21:09:02,talekozai,True,True,RT @shaun_vids: youtube missed the boat on banning crowder for homophobic harassment, or having a neo-nazi on his crew, or any of the hundr…,On YouTube, Steven Crowder and his co-hosts go on a wildly racist tirade against Black farmers. ,,,,,,,,
,,,,,,,,,,,,,,,,
https://t.co/dbnKNN2Lch https://t.co/iUsm2hjknb,,,,,,,,,,,,,,,,
2021-03-16 21:09:23,AntSeattle,True,False,RT @scobie: 1. @ColorOfChange,,,,,,,,,,,,
Last year the Sussexes backed an effort to end online hate speech that Color of Change—America’s largest raci…,,,,,,,,,,,,,,,,
2021-03-16 21:09:26,JamesAlanOLOO,False,False,@NRatwatte @JjJj821 @hayhurst3 @ReadandCoach @ann177345 @lisaannefloyd @Jm1_teacher @hayes_melisa @melanie_korach @WijeyeratneN Teacher #selfcare is not hate speech. Here are some excellent ideas by educator @NRatwatte on how to create mindful moments.,,,,,,,,,,,,
2021-03-16 21:09:28,samallankay,False,False,@tome708 @EricRWeinstein Lol, I considered reporting this comment because it borders on hate speech, and is just plain wrong.,,,,,,,,,,
2021-03-16 21:09:36,envysnest,True,True,RT @shaun_vids: youtube missed the boat on banning crowder for homophobic harassment, or having a neo-nazi on his crew, or any of the hundr…,On YouTube, Steven Crowder and his co-hosts go on a wildly racist tirade against Black farmers. ,,,,,,,,
,,,,,,,,,,,,,,,,
https://t.co/dbnKNN2Lch https://t.co/iUsm2hjknb,,,,,,,,,,,,,,,,
2021-03-16 21:09:36,jj_Ebooks,False,False,THAN EXPRESSING SOLIDARITY Social media quickly becomes someone else’s hate speech martyr.,,,,,,,,,,,,
2021-03-16 21:09:44,Kakashisoka1,True,True,RT @shaun_vids: youtube missed the boat on banning crowder for homophobic harassment, or having a neo-nazi on his crew, or any of the hundr…,On YouTube, Steven Crowder and his co-hosts go on a wildly racist tirade against Black farmers. ,,,,,,,,
,,,,,,,,,,,,,,,,
https://t.co/dbnKNN2Lch https://t.co/iUsm2hjknb,,,,,,,,,,,,,,,,
2021-03-16 21:09:52,thelaundrymatt,True,True,RT @shaun_vids: youtube missed the boat on banning crowder for homophobic harassment, or having a neo-nazi on his crew, or any of the hundr…,On YouTube, Steven Crowder and his co-hosts go on a wildly racist tirade against Black farmers. ,,,,,,,,
,,,,,,,,,,,,,,,,
https://t.co/dbnKNN2Lch https://t.co/iUsm2hjknb,,,,,,,,,,,,,,,,
2021-03-16 21:10:10,gutema_jimma,True,True,RT @timnitGebru: This statement by Yann is so wrong &amp, asserted with such confidence. ,,,,,,,,,,,
,,,,,,,,,,,,,,,,
There are many languages &amp, mixtures of languages tha…,In defending Facebook from the MIT Review story last week, FB chief AI scientist @ylecun made some incorrect statements in this tweet. For one," AI systems did not ""preemptively"" take down 94.7% of what is deemed hate speech on the platform. I'll explain:",,,,,,,,,,,,
https://t.co/rD64vJd0jF,,,,,,,,,,,,,,,,
2021-03-16 21:10:15,lauren_nicole8,True,True,RT @shaun_vids: youtube missed the boat on banning crowder for homophobic harassment, or having a neo-nazi on his crew, or any of the hundr…,On YouTube, Steven Crowder and his co-hosts go on a wildly racist tirade against Black farmers. ,,,,,,,,
,,,,,,,,,,,,,,,,
https://t.co/dbnKNN2Lch https://t.co/iUsm2hjknb,,,,,,,,,,,,,,,,
2021-03-16 21:10:32,lonestarcelt,True,True,RT @shaun_vids: youtube missed the boat on banning crowder for homophobic harassment, or having a neo-nazi on his crew, or any of the hundr…,On YouTube, Steven Crowder and his co-hosts go on a wildly racist tirade against Black farmers. ,,,,,,,,
,,,,,,,,,,,,,,,,
https://t.co/dbnKNN2Lch https://t.co/iUsm2hjknb,,,,,,,,,,,,,,,,
2021-03-16 21:10:41,PUNISHER3313,False,False,@BenjaminPohl @RealCandaceO @jack @Twitter This is shit statement different between hate speech and the truth hurting your feelings lol,,,,,,,,,,,,
2021-03-16 21:10:53,unityforertirea,True,False,RT @dejene_2011: ALERT!,,,,,,,,,,,,
#AlulaSolomon tried to criminalize #Ethiopian soldiers of #Amhara origin as if they wrote the following hate speech…,,,,,,,,,,,,,,,,
2021-03-16 21:11:01,Johannisnotcool,False,False,@tristandross @SpeechUnion From a scan of their TL for the last week, their priority seems to be fighting *against* a hate speech bill (!!!) passed in Scotland.,,,,,,,,,,,
2021-03-16 21:11:06,themiss_minuh,False,True,damn right 😭💀,this white boy posted his food on his instagram and captioned it, “it’s busting.” i feel like that should be considered hate speech.,,,,,,,,,,
2021-03-16 21:11:19,JRios1999,True,True,RT @shaun_vids: youtube missed the boat on banning crowder for homophobic harassment, or having a neo-nazi on his crew, or any of the hundr…,On YouTube, Steven Crowder and his co-hosts go on a wildly racist tirade against Black farmers. ,,,,,,,,
,,,,,,,,,,,,,,,,
https://t.co/dbnKNN2Lch https://t.co/iUsm2hjknb,,,,,,,,,,,,,,,,
2021-03-16 21:11:25,Ronan_Lee,True,False,RT @lnelsonmedia: 1) Thank you, @Ronan_Lee, for speaking with me yesterday about your book Myanmar’s Rohingya Genocide Identity, History an…,,,,,,,,,
2021-03-16 21:12:04,Agymm,True,True,RT @shaun_vids: youtube missed the boat on banning crowder for homophobic harassment, or having a neo-nazi on his crew, or any of the hundr…,On YouTube, Steven Crowder and his co-hosts go on a wildly racist tirade against Black farmers. ,,,,,,,,
,,,,,,,,,,,,,,,,
https://t.co/dbnKNN2Lch https://t.co/iUsm2hjknb,,,,,,,,,,,,,,,,
2021-03-16 21:12:07,shaerrphoto,False,False,Thank you 🙏🏾 https://t.co/ZkWJLziG4l for joining the community! On 🐦 I talk about Photography, Apps, and what I'm working on. No hate speech or complaints will come your way. All about ❤️ and good ⚡️.  Let's align 🤝,,,,,,,,,,
2021-03-16 21:12:08,Michael48657384,True,False,RT @Alula_Solomon: After vandalizing and destroying clinics and hospitals in #Tigray, #Ethiopian soldiers of Amhara origin wrote the follow…,,,,,,,,,,,
2021-03-16 21:12:09,nobrtshnyobjs,True,True,RT @shaun_vids: youtube missed the boat on banning crowder for homophobic harassment, or having a neo-nazi on his crew, or any of the hundr…,On YouTube, Steven Crowder and his co-hosts go on a wildly racist tirade against Black farmers. ,,,,,,,,
,,,,,,,,,,,,,,,,
https://t.co/dbnKNN2Lch https://t.co/iUsm2hjknb,,,,,,,,,,,,,,,,
2021-03-16 21:12:11,Klarion15,True,True,RT @shaun_vids: youtube missed the boat on banning crowder for homophobic harassment, or having a neo-nazi on his crew, or any of the hundr…,On YouTube, Steven Crowder and his co-hosts go on a wildly racist tirade against Black farmers. ,,,,,,,,
,,,,,,,,,,,,,,,,
https://t.co/dbnKNN2Lch https://t.co/iUsm2hjknb,,,,,,,,,,,,,,,,
2021-03-16 21:12:12,TheyFeedYoHead,True,False,RT @wheniwasaIive: some of yall dont know the difference between free speech and hate speech and it shows,,,,,,,,,,,,
2021-03-16 21:12:16,a_tre_p,True,True,RT @shaun_vids: youtube missed the boat on banning crowder for homophobic harassment, or having a neo-nazi on his crew, or any of the hundr…,On YouTube, Steven Crowder and his co-hosts go on a wildly racist tirade against Black farmers. ,,,,,,,,
,,,,,,,,,,,,,,,,
https://t.co/dbnKNN2Lch https://t.co/iUsm2hjknb,,,,,,,,,,,,,,,,
2021-03-16 21:12:44,NShaloms,True,True,RT @shaun_vids: youtube missed the boat on banning crowder for homophobic harassment, or having a neo-nazi on his crew, or any of the hundr…,On YouTube, Steven Crowder and his co-hosts go on a wildly racist tirade against Black farmers. ,,,,,,,,
,,,,,,,,,,,,,,,,
https://t.co/dbnKNN2Lch https://t.co/iUsm2hjknb,,,,,,,,,,,,,,,,
2021-03-16 21:12:55,DawitKind,True,False,RT @Alula_Solomon: After vandalizing and destroying clinics and hospitals in #Tigray, #Ethiopian soldiers of Amhara origin wrote the follow…,,,,,,,,,,,
2021-03-16 21:13:19,oldmanballz12,False,False,@BenjaminPohl @RealCandaceO @jack @Twitter The hypocrisy is predicated on calling a legitimate criticism hate speech because you disagree with it and—I’m supposing—can’t distinguish between what you don’t like and what’s actually hateful. Go to Louis Farrakhan’s page if you want to see hate speech.,,,,,,,,,,,,
2021-03-16 21:13:22,GraemeMor,True,True,RT @shaun_vids: youtube missed the boat on banning crowder for homophobic harassment, or having a neo-nazi on his crew, or any of the hundr…,On YouTube, Steven Crowder and his co-hosts go on a wildly racist tirade against Black farmers. ,,,,,,,,
,,,,,,,,,,,,,,,,
https://t.co/dbnKNN2Lch https://t.co/iUsm2hjknb,,,,,,,,,,,,,,,,
2021-03-16 21:13:33,candicejessica9,True,False,RT @ItsZaeOk: this white boy posted his food on his instagram and captioned it, “it’s busting.” i feel like that should be considered hate…,,,,,,,,,,,
2021-03-16 21:13:36,SpikeGhost,True,True,RT @shaun_vids: youtube missed the boat on banning crowder for homophobic harassment, or having a neo-nazi on his crew, or any of the hundr…,On YouTube, Steven Crowder and his co-hosts go on a wildly racist tirade against Black farmers. ,,,,,,,,
,,,,,,,,,,,,,,,,
https://t.co/dbnKNN2Lch https://t.co/iUsm2hjknb,,,,,,,,,,,,,,,,
2021-03-16 21:13:41,darthvanna,True,False,RT @ItsZaeOk: this white boy posted his food on his instagram and captioned it, “it’s busting.” i feel like that should be considered hate…,,,,,,,,,,,
2021-03-16 21:13:55,DarrenShiroma,True,True,RT @JLin7: Thank you thank you for helping me share this message. Forever grateful @BleacherReport 👊🏼,We're tired of our pain being overlooked.,,,,,,,,,,,
,,,,,,,,,,,,,,,,
@JLin7 speaks on the rise of hate speech and racist attacks against Asian Americans and Pacific Islanders #StopAsianHate #StopAAPIHate 🙏 https://t.co/RI7afv4F3s,,,,,,,,,,,,,,,,
2021-03-16 21:13:55,hbbtruth,True,False,RT @SpeechUnion: The Non-Crime Hate Incident (NCHI) is a recent and chilling restriction to free speech. Parliament has never even passed l…,,,,,,,,,,,,
2021-03-16 21:14:03,krys_1981,True,False,RT @ItsZaeOk: this white boy posted his food on his instagram and captioned it, “it’s busting.” i feel like that should be considered hate…,,,,,,,,,,,
2021-03-16 21:14:04,FunnyWarlord,False,False,@iraniaVega1 @asambleapa Los que acusan de hate speech y homofobia son los mismos que tratan de causar molestia a un hombre insinúandole que tiene una relación con otro. Tanto orgullo gay y tanta lloradera ante la asamblea y por otro lado utilizan eso que defienden como ofensa. Clase de retardados. https://t.co/VNZ04E9nyY,,,,,,,,,,,,
2021-03-16 21:14:07,bill64button,True,True,RT @shaun_vids: youtube missed the boat on banning crowder for homophobic harassment, or having a neo-nazi on his crew, or any of the hundr…,On YouTube, Steven Crowder and his co-hosts go on a wildly racist tirade against Black farmers. ,,,,,,,,
,,,,,,,,,,,,,,,,
https://t.co/dbnKNN2Lch https://t.co/iUsm2hjknb,,,,,,,,,,,,,,,,
2021-03-16 21:14:12,poisonouswine_,True,True,RT @shaun_vids: youtube missed the boat on banning crowder for homophobic harassment, or having a neo-nazi on his crew, or any of the hundr…,On YouTube, Steven Crowder and his co-hosts go on a wildly racist tirade against Black farmers. ,,,,,,,,
,,,,,,,,,,,,,,,,
https://t.co/dbnKNN2Lch https://t.co/iUsm2hjknb,,,,,,,,,,,,,,,,
2021-03-16 21:14:14,Tulluu14,True,False,RT @Alula_Solomon: After vandalizing and destroying clinics and hospitals in #Tigray, #Ethiopian soldiers of Amhara origin wrote the follow…,,,,,,,,,,,
2021-03-16 21:14:16,DoubleJungStan,True,False,RT @ItsZaeOk: this white boy posted his food on his instagram and captioned it, “it’s busting.” i feel like that should be considered hate…,,,,,,,,,,,
2021-03-16 21:14:18,Blueshocker_YT,False,True,They do say actions speak louder than words 🤷‍♂️,I think no speech should ever be censored. Hate speech. Love speech. Conspiracies. Idc. Nothing should be off limits. Words shouldn't be policed. Only true harmful actions in the physical or digital world should be policed.,,,,,,,,,,,
2021-03-16 21:14:21,localjewishteen,True,False,"RT @BleacherReport: ""We're tired of our pain being overlooked.""",,,,,,,,,,,,
,,,,,,,,,,,,,,,,
@JLin7 speaks on the rise of hate speech and racist attacks against Asian…,,,,,,,,,,,,,,,,
2021-03-16 21:14:50,thedean_za,True,False,RT @UrbanLo: If SA keeps on tolerating the destructiveness of the EFF, we will reap a whirlwind one day. All hate-speech is wrong.  All agg…,,,,,,,,,,,
2021-03-16 21:14:57,nooouch,True,True,RT @Kevin_Maguire: Humiliating apology extracted from Burchill. Trolls be warned. I’m no fan of libel actions but hate speech is poisonous…,In December Julie Burchill accused me of worshipping a paedophile and called me an Islamist.,,,,,,,,,,,
,,,,,,,,,,,,,,,,
After legal action, she has apologised in full for these falsehoods, for playing into “Islamophobic tropes” and making “racist and misogynist” comments about my appearance and sex life.,,,,,,,,,,,,,,
2021-03-16 21:14:57,IllyrianWh0re,True,False,RT @ItsZaeOk: this white boy posted his food on his instagram and captioned it, “it’s busting.” i feel like that should be considered hate…,,,,,,,,,,,
2021-03-16 21:15:05,solanacrystal,False,False,@NickSawyerMD @morgfair False information should be the same level of reporting, and subject to review, as harassment and bullying or hate speech. It is just as dangerous. I'm in FB jail for cussing but people can freely spread lies about vaccines, covid itself, legislation of voting rights, and so on.,,,,,,,
2021-03-16 21:15:12,Valkysas,True,True,RT @shaun_vids: youtube missed the boat on banning crowder for homophobic harassment, or having a neo-nazi on his crew, or any of the hundr…,On YouTube, Steven Crowder and his co-hosts go on a wildly racist tirade against Black farmers. ,,,,,,,,
,,,,,,,,,,,,,,,,
https://t.co/dbnKNN2Lch https://t.co/iUsm2hjknb,,,,,,,,,,,,,,,,
2021-03-16 21:15:16,AH89821199,False,False,"@MsVanillaRose @Liesl_65 @justthevax @EmmaBatemanGPW Imagine if that said ""trans"" instead of ""terfs""",,,,,,,,,,,,
,,,,,,,,,,,,,,,,
It would be hate speech.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Yet you throw misogyny around like it's no biggie.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
That's why it's troubling that the Green Party is taking an even more extreme line,,,,,,,,,,,,,,,,
2021-03-16 21:15:23,Thomas_NEast,True,True,RT @shaun_vids: youtube missed the boat on banning crowder for homophobic harassment, or having a neo-nazi on his crew, or any of the hundr…,On YouTube, Steven Crowder and his co-hosts go on a wildly racist tirade against Black farmers. ,,,,,,,,
,,,,,,,,,,,,,,,,
https://t.co/dbnKNN2Lch https://t.co/iUsm2hjknb,,,,,,,,,,,,,,,,
2021-03-16 21:15:24,The_I_Mover_It,True,True,RT @shaun_vids: youtube missed the boat on banning crowder for homophobic harassment, or having a neo-nazi on his crew, or any of the hundr…,On YouTube, Steven Crowder and his co-hosts go on a wildly racist tirade against Black farmers. ,,,,,,,,
,,,,,,,,,,,,,,,,
https://t.co/dbnKNN2Lch https://t.co/iUsm2hjknb,,,,,,,,,,,,,,,,
2021-03-16 21:15:30,chenofans,True,False,RT @VABVOX: Stop confusing hate speech with free speech. ,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
That's the tweet.,,,,,,,,,,,,,,,,
2021-03-16 21:15:43,onlyhumannature,False,False,@OliviaAnko fuck that dude. what a dick. it is hate speech.,,,,,,,,,,,,
2021-03-16 21:15:44,Atarasado,True,True,RT @shaun_vids: youtube missed the boat on banning crowder for homophobic harassment, or having a neo-nazi on his crew, or any of the hundr…,On YouTube, Steven Crowder and his co-hosts go on a wildly racist tirade against Black farmers. ,,,,,,,,
,,,,,,,,,,,,,,,,
https://t.co/dbnKNN2Lch https://t.co/iUsm2hjknb,,,,,,,,,,,,,,,,
2021-03-16 21:16:04,SRWAtheist,True,True,RT @timnitGebru: This statement by Yann is so wrong &amp, asserted with such confidence. ,,,,,,,,,,,
,,,,,,,,,,,,,,,,
There are many languages &amp, mixtures of languages tha…,In defending Facebook from the MIT Review story last week, FB chief AI scientist @ylecun made some incorrect statements in this tweet. For one," AI systems did not ""preemptively"" take down 94.7% of what is deemed hate speech on the platform. I'll explain:",,,,,,,,,,,,
https://t.co/rD64vJd0jF,,,,,,,,,,,,,,,,
2021-03-16 21:16:08,jmanrocks152,True,True,RT @shaun_vids: youtube missed the boat on banning crowder for homophobic harassment, or having a neo-nazi on his crew, or any of the hundr…,On YouTube, Steven Crowder and his co-hosts go on a wildly racist tirade against Black farmers. ,,,,,,,,
,,,,,,,,,,,,,,,,
https://t.co/dbnKNN2Lch https://t.co/iUsm2hjknb,,,,,,,,,,,,,,,,
2021-03-16 21:16:35,Gabechomp,True,True,RT @shaun_vids: youtube missed the boat on banning crowder for homophobic harassment, or having a neo-nazi on his crew, or any of the hundr…,On YouTube, Steven Crowder and his co-hosts go on a wildly racist tirade against Black farmers. ,,,,,,,,
,,,,,,,,,,,,,,,,
https://t.co/dbnKNN2Lch https://t.co/iUsm2hjknb,,,,,,,,,,,,,,,,
2021-03-16 21:16:36,leemasterific,False,False,@Dante_Al_noe @shaun_vids How do hate speech rules/laws affect you?,,,,,,,,,,,,
