text,favourite_count,retweet_count,created_at
"@breakfasttv I received the Astrazeneca vaccine on April 9th. No, I do not regret it! I look forward to getting the Pfizer vaccine on the 28th of this month. I feel confident we will be fully protected. Even if it is unconventional. 😊",0,0,2021-06-20 23:59:37
"#Pfizer
#AstraZeneca
#Moderna
#JohnsonAndJohnson 

What's up !  Safe and effective !

⬇️
⬇️ https://t.co/fvw1H8cmXT",3,5,2021-06-20 23:59:33
"RT @TimWattsMP: Can you believe this?

The MORRISON GOVERNMENT is chastising THE STATES for ‘under-ordering’ vaccines.

This is same Morris…",0,212,2021-06-20 23:58:46
"RT @DrEricDing: 5) One dose of the vaccine is insufficient now. Two doses much more protection, but even then there is an 8% attenuation. A…",0,270,2021-06-20 23:57:54
"RT @DrEricDing: 5) One dose of the vaccine is insufficient now. Two doses much more protection, but even then there is an 8% attenuation. A…",0,270,2021-06-20 23:56:29
RT @DrEricDing: 13) Vaccine effectiveness against #DeltaVariant according to @PHE_uk — averaging AstraZeneca &amp; Pfizer together (even if dif…,0,94,2021-06-20 23:54:35
"RT @james00000001: WHO TO BELIEVE?!
SQott or Canada? 

Morrison, please ask the TGA to approve Pfizer as second dose, ASAP! #auspol #vaccin…",0,32,2021-06-20 23:54:18
"RT @ADHDadultlife: Has anyone in the UK had a mix of different #vaccines for the #COVID19 vaccination? 
I.e. AstraZeneca and Pfizer or Mode…",0,1,2021-06-20 23:53:18
"RT @TimWattsMP: Can you believe this?

The MORRISON GOVERNMENT is chastising THE STATES for ‘under-ordering’ vaccines.

This is same Morris…",0,212,2021-06-20 23:51:49
"Not close to what is really happening with the side effects. However, list of blood clot symptoms then 'could be between 4 days to 4 weeks' if you fall ill.🤬
Potential side effects explained as second dose rollout accelerates

https://t.co/8t0yZzPUFL

Sent via @updayUK",0,0,2021-06-20 23:51:45
"RT @freddie1999: Over 1,000 fully #vaccinated Bangalore 🇮🇳 cops test #COVID19 positive. #Bengaluru #Fauci #BillGates #VaccinesWork 😂 😂 #Ind…",0,7,2021-06-20 23:50:55
